Version:,4.6.6.0,
Fragment,Size (KiB),
empty,579,NOTE: This is the size of a build with no fragments. All other sizes are the added size of the given fragment.
audio-filters,282,
bsf-av1_metadata,133,
bsf-extract_extradata,14,
bsf-h264_metadata,173,
bsf-hevc_metadata,231,
bsf-vp9_metadata,47,
cli,845,
codec-aac,402,
codec-alac,27,
codec-flac,64,
codec-gif,24,
codec-libaom_av1,3697,
codec-libopenh264,625,
codec-libopus,287,
codec-libvorbis,453,
codec-libvpx_vp8,345,
codec-libvpx_vp9,798,
codec-mjpeg,599,
codec-pcm_f32le,13,
codec-png,85,
codec-prores,50,
codec-qtrle,21,
codec-rawvideo,14,
decoder-aac,303,
decoder-alac,15,
decoder-flac,27,
decoder-gif,14,
decoder-h264,738,
decoder-hevc,490,
decoder-libaom_av1,1198,
decoder-libopenh264,297,
decoder-libopus,125,
decoder-libvorbis,119,
decoder-libvpx_vp8,83,
decoder-libvpx_vp9,226,
decoder-mjpeg,86,
decoder-mp3,56,
decoder-pcm_f32le,11,
decoder-png,53,
decoder-prores,29,
decoder-qtrle,17,
decoder-rawvideo,13,
decoder-webp,170,
demuxer-flac,25,
demuxer-hls,270,
demuxer-image2,27,
demuxer-mp3,15,
demuxer-mp4,182,
demuxer-ogg,49,
demuxer-pcm_f32le,3,
demuxer-rawvideo,3,
demuxer-wav,32,
demuxer-wavpack,43,
demuxer-webm,67,
encoder-aac,260,
encoder-alac,15,
encoder-flac,44,
encoder-gif,13,
encoder-libaom_av1,0,
encoder-libmp3lame,187,
encoder-libopenh264,0,
encoder-libopus,0,
encoder-libvorbis,0,
encoder-libvpx_vp8,291,
encoder-libvpx_vp9,648,
encoder-mjpeg,542,
encoder-pcm_f32le,5,
encoder-png,0,
encoder-prores,24,
encoder-qtrle,8,
encoder-rawvideo,6,
format-flac,35,
format-hls,569,
format-image2,34,
format-mp3,37,
format-mp4,377,
format-ogg,61,
format-pcm_f32le,4,
format-rawvideo,3,
format-wav,49,
format-wavpack,106,
format-webm,164,
libvpx,0,
muxer-flac,10,
muxer-hls,324,
muxer-image2,8,
muxer-mp3,23,
muxer-mp4,210,
muxer-ogg,13,
muxer-pcm_f32le,1,
muxer-rawvideo,1,
muxer-wav,21,
muxer-wavpack,68,
muxer-webm,106,
parser-aac,7,
parser-av1,126,
parser-flac,14,
parser-gif,3,
parser-h264,72,
parser-hevc,50,
parser-mjpeg,2,
parser-opus,9,
parser-png,2,
parser-vorbis,5,
parser-vp8,1,
parser-vp9,1,
parser-webp,2,
protocol-jsfetch,0,
swscale,392,
workerfs,0,
